name	taxid
Armillaria borealis	47425
Armillaria mellea	47429
Armillaria fumosa	153910
Armillaria nabsnona	64368
Armillaria luteobubalina	153913
Armillaria novae-zelandiae	153914
Armillaria ostoyae	47428
Armillaria gallica	47427
Armillaria solidipes	1076256
